Percentage served,Time in ms
0,7.427
1,7.470
2,7.665
3,7.675
4,7.704
5,7.737
6,7.766
7,7.830
8,7.835
9,7.844
10,7.914
11,7.975
12,7.992
13,7.999
14,8.003
15,8.026
16,8.053
17,8.119
18,8.214
19,8.219
20,8.232
21,8.275
22,8.352
23,8.355
24,8.397
25,8.406
26,8.442
27,8.459
28,8.473
29,8.473
30,8.481
31,8.493
32,8.503
33,8.510
34,8.521
35,8.571
36,8.596
37,8.612
38,8.636
39,8.648
40,8.664
41,8.740
42,8.770
43,8.805
44,8.844
45,8.847
46,8.850
47,8.865
48,8.872
49,8.893
50,8.944
51,9.063
52,9.070
53,9.090
54,9.112
55,9.144
56,9.156
57,9.269
58,9.277
59,9.380
60,9.502
61,9.506
62,9.595
63,9.711
64,9.742
65,9.855
66,10.147
67,10.536
68,10.563
69,10.566
70,10.588
71,10.612
72,10.715
73,10.797
74,10.918
75,11.280
76,11.287
77,11.408
78,11.542
79,11.607
80,11.621
81,11.857
82,11.921
83,11.994
84,12.266
85,12.422
86,12.670
87,13.772
88,13.824
89,13.892
90,15.206
91,15.726
92,24.376
93,37.684
94,38.007
95,43.508
96,43.569
97,49.315
98,50.486
99,52.993
100,52.993
