Percentage served,Time in ms
0,65.614
1,72.422
2,77.543
3,86.466
4,96.534
5,104.387
6,120.018
7,123.175
8,127.661
9,131.614
10,147.416
11,154.789
12,156.151
13,162.578
14,165.345
15,165.714
16,166.060
17,168.508
18,169.409
19,170.234
20,170.331
21,170.541
22,170.958
23,171.218
24,171.414
25,171.415
26,171.667
27,171.828
28,171.902
29,172.011
30,172.224
31,172.328
32,172.457
33,172.713
34,172.811
35,174.633
36,175.678
37,176.187
38,176.244
39,176.506
40,177.384
41,177.733
42,178.414
43,178.426
44,178.663
45,178.956
46,179.978
47,180.108
48,180.210
49,180.579
50,180.895
51,181.483
52,181.584
53,181.857
54,182.408
55,183.022
56,183.560
57,184.588
58,184.619
59,185.133
60,185.266
61,186.190
62,187.621
63,188.389
64,188.540
65,189.885
66,190.071
67,190.310
68,190.509
69,190.748
70,190.835
71,191.355
72,191.482
73,191.869
74,192.568
75,192.871
76,193.079
77,193.288
78,193.315
79,196.605
80,196.682
81,197.297
82,200.862
83,214.267
84,216.634
85,223.778
86,228.908
87,230.225
88,231.230
89,235.263
90,235.654
91,237.342
92,238.538
93,238.723
94,245.182
95,298.897
96,363.656
97,511.900
98,663.529
99,808.914
100,808.914
