Percentage served,Time in ms
0,12.794
1,19.647
2,26.478
3,29.849
4,33.869
5,41.255
6,45.026
7,50.891
8,58.011
9,66.561
10,70.069
11,72.978
12,77.119
13,81.467
14,84.203
15,87.646
16,88.583
17,89.706
18,90.290
19,90.700
20,90.945
21,91.363
22,91.652
23,91.843
24,92.148
25,92.450
26,92.827
27,92.908
28,93.113
29,93.327
30,93.515
31,93.737
32,93.970
33,94.194
34,94.381
35,94.690
36,94.871
37,95.158
38,95.435
39,95.620
40,95.872
41,96.135
42,96.420
43,96.648
44,96.888
45,97.068
46,97.288
47,97.568
48,97.693
49,97.958
50,98.112
51,98.277
52,98.391
53,98.672
54,98.800
55,98.964
56,99.225
57,99.434
58,99.570
59,99.751
60,99.992
61,100.184
62,100.292
63,100.732
64,100.903
65,101.101
66,101.479
67,101.735
68,101.983
69,102.372
70,102.521
71,102.861
72,103.160
73,103.576
74,103.890
75,104.053
76,104.485
77,104.795
78,105.633
79,106.406
80,108.903
81,110.473
82,111.838
83,116.042
84,119.498
85,122.380
86,123.284
87,126.112
88,130.824
89,133.552
90,138.026
91,141.577
92,153.834
93,161.887
94,168.457
95,175.649
96,182.238
97,195.409
98,592.348
99,1106.487
100,1207.801
